parent,annotation,text,study_link,study_data,study_title,free_text,selectable
va,va.cadd,CADD,https://www.ncbi.nlm.nih.gov/pubmed/24487276,http://cadd.gs.washington.edu/download,"Kircher, Martin et al. ""A General Framework for Estimating the Relative Pathogenicity of Human Genetic Variants.""Nature genetics 46.3 (2014): 310-315.","This is CADD version 1.3. For more info, we suggest reading through the official release notes: http://cadd.gs.washington.edu/static/ReleaseNotes_CADD_v1.3.pdf",0
va,va.chromHMM,Epigenome Roadmap - ChromHMM,https://www.ncbi.nlm.nih.gov/pubmed/?term=25693563,https://personal.broadinstitute.org/meuleman/reg2map/HoneyBadger2-impute_release/,Roadmap Epigenomics Consortium et al. “Integrative Analysis of 111 Reference Human Epigenomes.” Nature 518.7539 (2015): 317–330.,"Chromatin state discovery and characterization. 

Data were downloaded in R format. We included only intervals overlapping with DNaseI regions selected with -log10(p) >= 10. 

Information about the interpretation of each of the 25 states can be found here: http://egg2.wustl.edu/roadmap/web_portal/imputed.html#chr_imp. 

The name for each cell type can be found here: https://docs.google.com/spreadsheets/u/1/d/1yikGx4MsO9Ei36b64yOy9Vb6oPC5IBGlFbYEt-N6gOM/edit?usp=sharing#gid=15.",0
va.chromHMM,va.chromHMM.enhancers,Enhancers,,,,"Enhancers states included: 10, 11, 12, 13, 14, 15, 16, 17, 18. Strong enhancers usually defined: 10, 12, 13, 14, 15. 0=no enhancer.",1
va.chromHMM,va.chromHMM.promoters,Promoters,,,,"Promoters + TSS states included: 1, 2, 3, 4, 22, 23. Strong promoters + TSS usually defined: 1, 2, 3, 4. 1=TSS, 0=no promoters, TSS.",1
va,va.dann,DANN,https://www.ncbi.nlm.nih.gov/pubmed/25338716,https://cbcl.ics.uci.edu/public_data/DANN/data/,"Quang, Daniel, Yifei Chen, and Xiaohui Xie. ""DANN: A Deep Learning Approach for Annotating the Pathogenicity of Genetic Variants."" Bioinformatics 31.5 (2015): 761-763.","Same as CADD, but using a deep learning approach.",0
va,va.dbNSFP,dbNSFP v2.9.3,https://www.ncbi.nlm.nih.gov/pubmed/?term=26555599,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFPv2.9.3.zip,"Liu, Xiaoming et al. ""dbNSFP v3.0: A One-Stop Database of Functional Predictions and Annotations for Human Non-Synonymous and Splice Site SNVs."" Human mutation 37.3 (2016): 235-241.","Database for Nonsynonymous SNPs' functional predictions, v2.9.3.

The dbNSFP is an integrated database of functional annotations from multiple sources for the comprehensive collection of human non-synonymous SNPs (NSs).

Its current version includes a total of 87,361,054 NSs. It compiles prediction scores from 14 prediction algorithms (SIFT, Polyphen2, LRT, MutationTaster, MutationAssessor, FATHMM, MetaSVM, MetaLR, CADD, VEST, PROVEAN, M-CAP, Eigen\uff0cEigen PC), eight conservation scores (phyloP46way_primate, phyloP46way_placental, phyloP100way_vertebrate, phastCons46way_primate, phastCons46way_placental, phastCons100way_veterbrate, GERP++, and SiPhy) and other function annotations.

We included all the original annotations except for allele frequencies in 1000 genome and ExAC since these are covered in other annotations.

Note 1: Missing data is designated as ""."".
Note 2: The three Uniprot entries are based on Polyphen-2 v2.2.2 annotations.",0
va,va.dhs,Replicated DHS,http://biorxiv.org/content/early/2016/05/19/054361,Shared by pshoosh@broadinstitute.org,Shooshtari et Al. Integrative genetic and epigenetic analysis uncovers regulatory mechanisms of autoimmune disease,Detailed information about the processing are available https://storage.googleapis.com/annotationdb/dhs/Replicable-DHS.pdf,0
va,va.discovEHR,DiscovEHR,https://www.ncbi.nlm.nih.gov/pubmed/28008009,http://www.discovehrshare.com/downloads,"Distribution and clinical impact of functional variants in 50,726 whole-exome sequences from the DiscovEHR study. Science (2016).",,0
va,va.eigen,EIGEN,https://www.ncbi.nlm.nih.gov/pubmed/26727659,https://xioniti01.u.hpc.mssm.edu/v1.1/,"IONITA-LAZA, IULIANA et al. ""A SPECTRAL APPROACH INTEGRATING FUNCTIONAL GENOMIC ANNOTATIONS FOR CODING AND NONCODING VARIANTS."" Nature genetics 48.2 (2016): 214-220.","EIGEN v1.1. In the paper, Eigen PC works better than EIGEN in non-coding regions.",0
va,va.fantom5,FANTOM 5,https://www.ncbi.nlm.nih.gov/pubmed/?term=24670763,http://enhancer.binf.ku.dk/presets/robust_enhancers.bed and http://enhancer.binf.ku.dk/presets/permissive_enhancers.bed,"Andersson, Robin et al. “An Atlas of Active Enhancers across Human Cell Types and Tissues.” Nature 507.7493 (2014): 455–461.",FANTOM5 enhancers obtained with CAGE technique,0
